Album,Artist,Track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,TrackURI,TrackID
Lover,Taylor Swift,Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,1BxfuPKGuaTgP7aM0Bbdwr
Lover,Taylor Swift,The Man,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048,190360,4,spotify:track:3RauEVgRgj1IuWdJ9fDs70,3RauEVgRgj1IuWdJ9fDs70
Lover,Taylor Swift,Death By a Thousand Cuts,0.712,0.732,4,-6.754,1,0.0629,0.454,0.0,0.319,0.313,94.071,198533,4,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,2dgFqt3w9xIQRjhPtwNk3D
Lover,Taylor Swift,False God,0.739,0.32,11,-10.862,0,0.239,0.736,0.000147,0.111,0.351,79.97,200307,4,spotify:track:5hQSXkFgbxjZo9uCwd11so,5hQSXkFgbxjZo9uCwd11so
Lover,Taylor Swift,I Forgot That You Existed,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875,170640,4,spotify:track:43rA71bccXFGD4C8GOpIlN,43rA71bccXFGD4C8GOpIlN
Lover,Taylor Swift,I Think He Knows,0.897,0.366,0,-8.029,1,0.0569,0.00889,0.000353,0.0715,0.416,100.003,173387,4,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,2YWtcWi3a83pdEg3Gif4Pd
Lover,Taylor Swift,It's Nice to Have a Friend,0.737,0.175,10,-9.912,1,0.0401,0.971,0.000337,0.171,0.545,70.008,150440,4,spotify:track:1SmiQ65iSAbPto6gPFlBYm,1SmiQ65iSAbPto6gPFlBYm
Lover,Taylor Swift,London Boy,0.695,0.71,1,-6.639,1,0.05,0.0246,0.000104,0.133,0.557,157.925,190240,4,spotify:track:1LLXZFeAHK9R4xUramtUKw,1LLXZFeAHK9R4xUramtUKw
Lover,Taylor Swift,Lover,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,221307,4,spotify:track:1dGr1c8CrMLDpV6mPbImSI,1dGr1c8CrMLDpV6mPbImSI
Lover,Taylor Swift,ME! (feat. Brendon Urie),0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,193000,4,spotify:track:2Rk4JlNc2TPmZe2af99d45,2Rk4JlNc2TPmZe2af99d45
Lover,Taylor Swift,Miss Americana & the Heartbreak Prince,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,234147,4,spotify:track:214nt20w5wOxJnY462klLw,214nt20w5wOxJnY462klLw
Lover,Taylor Swift,Paper Rings,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,222400,4,spotify:track:4y5bvROuBDPr5fuwXbIBZR,4y5bvROuBDPr5fuwXbIBZR
Lover,Taylor Swift,Soon You'll Get Better (feat. Dixie Chicks),0.433,0.182,0,-12.566,1,0.0641,0.907,0.0,0.123,0.421,207.476,201587,4,spotify:track:4AYtqFyFbX0Xkc2wtcygTr,4AYtqFyFbX0Xkc2wtcygTr
Lover,Taylor Swift,The Archer,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240,4,spotify:track:3pHkh7d0lzM2AldUtz2x37,3pHkh7d0lzM2AldUtz2x37
Lover,Taylor Swift,You Need to Calm Down,0.771,0.671,2,-5.617,1,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,4,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,6RRNNciQGZEXnqk8SQ9yv5
